DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
4.73,0.00,2.89,5.27,0.00,6.18,9.09,6.18,0.00,0.00,5.30,0.00,0.00,7.45,0.00,0.00,0.00,0.00,0.00,0.00,
11.05,0.00,11.05,12.95,11.75,0.00,0.00,17.24,15.62,9.75,8.05,0.00,0.00,11.90,9.25,10.38,12.95,14.19,9.65,9.52,
4.73,0.00,5.27,9.09,4.55,0.00,0.00,0.00,0.00,3.11,4.10,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,
11.39,0.00,8.28,9.39,0.00,9.39,8.72,8.06,16.06,11.65,0.00,2.79,0.00,0.00,0.00,6.47,12.72,0.00,0.00,14.28,
13.07,0.00,11.33,13.07,0.00,0.00,0.00,6.67,0.00,8.67,5.38,7.73,4.07,0.00,9.87,6.53,9.87,0.00,7.07,0.00,
0.00,4.79,11.33,7.07,0.00,6.67,0.00,8.67,9.87,9.87,3.75,0.00,0.00,6.93,0.00,11.33,0.00,0.00,0.00,0.00,
4.64,11.33,6.53,0.00,0.00,13.07,7.73,13.07,0.00,11.33,0.00,8.67,0.00,7.07,0.00,7.73,0.00,0.00,4.64,5.50,
0.00,0.00,0.00,7.07,0.00,6.53,0.00,0.00,0.00,0.00,5.58,8.93,5.36,0.00,6.67,9.87,0.00,0.00,7.73,8.93,
11.33,0.00,0.00,0.00,7.07,0.00,11.33,6.36,7.79,0.00,8.93,0.00,0.00,6.67,0.00,5.50,7.73,0.00,0.00,4.93,
4.77,6.07,13.07,0.00,0.00,0.00,0.00,3.69,11.33,0.00,9.87,8.67,0.00,0.00,0.00,0.00,0.00,11.33,7.07,6.67,
7.07,11.33,7.73,0.00,0.00,0.00,0.00,7.73,0.00,2.58,6.67,6.36,0.00,13.07,0.00,6.07,0.00,0.00,0.00,11.33,
6.67,13.07,7.07,0.00,0.00,11.33,9.87,0.00,0.00,8.67,7.50,0.00,0.00,8.67,0.00,6.53,13.07,0.00,4.93,4.64,
11.33,7.73,0.00,7.07,0.00,8.67,11.33,0.00,0.00,4.93,6.07,6.67,0.00,6.50,6.53,0.00,0.00,0.00,13.07,9.87,
4.36,7.07,0.00,0.00,11.33,0.00,0.00,0.00,7.73,9.87,6.07,7.07,6.53,9.87,0.00,0.00,5.21,0.00,13.07,8.67,
5.50,0.00,0.00,0.00,0.00,0.00,5.73,14.06,0.00,0.00,4.40,4.93,0.00,0.00,6.53,3.79,8.56,0.00,0.00,0.00,
14.06,0.00,0.00,8.56,0.00,0.00,5.60,5.07,0.00,12.31,5.47,12.31,0.00,0.00,14.06,6.67,4.07,0.00,0.00,0.00,
0.00,6.62,0.00,2.70,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,8.93,0.00,0.00,5.08,0.00,6.07,0.00,
0.00,0.00,12.07,7.79,0.00,7.79,6.07,0.00,0.00,0.00,0.00,5.75,0.00,0.00,0.00,6.07,3.69,10.36,12.07,5.54,
7.73,0.00,5.21,8.67,11.33,0.00,0.00,13.07,0.00,8.67,7.73,6.50,0.00,0.00,0.00,4.93,0.00,7.07,0.00,8.93,
0.00,9.87,4.64,11.33,7.73,0.00,13.07,0.00,0.00,6.36,7.07,0.00,0.00,5.50,4.36,0.00,6.53,0.00,0.00,11.33,
15.06,0.00,10.28,5.19,8.28,12.72,12.72,0.00,0.00,8.06,8.28,6.12,0.00,9.39,0.00,0.00,5.06,0.00,0.00,14.28,
5.20,0.00,9.39,8.72,0.00,8.28,16.06,8.28,0.00,9.56,12.72,14.28,8.72,10.28,0.00,0.00,11.39,0.00,12.72,0.00,
14.65,4.94,0.00,0.00,9.65,0.00,9.25,11.16,5.39,0.00,12.05,7.05,16.25,12.05,13.25,18.05,0.00,9.65,0.00,9.05,
5.37,0.00,15.52,0.00,10.59,16.59,0.00,0.00,12.77,9.62,10.57,7.71,7.24,0.00,0.00,0.00,6.76,11.86,11.14,20.05,
0.00,0.00,0.00,0.00,11.33,6.67,6.67,11.33,0.00,5.54,7.73,8.00,0.00,8.67,0.00,5.36,0.00,0.00,0.00,7.73,
9.56,0.00,0.00,6.53,10.81,7.79,7.06,0.00,0.00,12.31,12.31,9.87,0.00,0.00,0.00,0.00,4.67,0.00,0.00,5.60,
0.00,7.07,8.59,0.00,9.41,11.76,0.00,8.59,0.00,7.65,9.56,7.65,7.53,0.00,9.41,15.06,8.00,11.76,13.29,0.00,
0.00,9.72,14.65,10.25,7.05,0.00,12.05,0.00,0.00,0.00,5.29,18.05,0.00,0.00,0.00,5.50,9.25,11.05,13.25,9.05,
5.19,5.19,0.00,0.00,0.00,13.29,0.00,11.76,0.00,0.00,15.06,9.41,14.06,9.41,0.00,7.06,10.47,0.00,0.00,5.73,
14.65,8.63,11.05,0.00,12.05,8.95,0.00,10.21,8.53,0.00,0.00,0.00,16.25,0.00,9.05,9.65,9.58,12.05,7.68,13.25,
9.65,5.29,0.00,0.00,11.05,0.00,16.25,3.88,9.65,0.00,11.05,0.00,9.25,0.00,10.25,14.65,0.00,14.65,16.25,9.47,
16.06,0.00,8.72,0.00,0.00,10.28,9.06,12.72,0.00,0.00,14.28,0.00,0.00,0.00,7.06,0.00,5.06,12.72,6.94,7.53,
9.65,7.65,0.00,9.47,9.25,0.00,8.50,13.25,0.00,0.00,8.63,0.00,0.00,0.00,0.00,12.05,9.39,9.05,14.65,0.00,
6.27,0.00,0.00,0.00,0.00,0.00,6.24,6.00,0.00,8.59,0.00,0.00,11.39,0.00,8.06,0.00,9.39,0.00,8.28,15.06,
7.17,13.25,5.83,0.00,0.00,0.00,0.00,16.25,0.00,7.28,0.00,9.47,9.65,0.00,0.00,0.00,6.11,11.05,6.28,0.00,
0.00,0.00,9.05,12.05,18.05,8.53,8.17,11.05,9.25,0.00,0.00,0.00,9.65,10.25,10.25,13.25,14.65,0.00,9.79,5.50,
0.00,12.11,0.00,0.00,0.00,2.58,5.61,0.00,9.05,0.00,4.72,9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.05,
0.00,7.06,0.00,0.00,0.00,16.25,0.00,6.11,0.00,0.00,0.00,0.00,0.00,18.05,5.20,9.73,0.00,0.00,0.00,0.00,
