QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
0.7329,0.3664,1.0993,0.0,0.0,0.0,0.3664,0.7329,0.3664,0.3664,0.0,0.0,0.7329,0.3664,0.7329,0.7329,0.0,0.3664,0.0,0.3664,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2489,0.2005,0.1841,0.2489,0.2005,0.1841
0.0,0.0,0.5538,0.0,0.0,0.0,0.0,2.2151,0.5538,0.0,0.5538,0.0,0.5538,0.0,0.5538,0.5538,0.5538,0.0,0.0,2.2151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.1708,0.1474,0.1281,0.1708,0.1474,0.1281
0.4309,1.2928,0.0,0.0,0.0,0.0,0.0,0.4309,0.0,0.0,0.4309,0.0,0.0,0.0,0.4309,1.2928,0.0,0.0,0.0,1.2928,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.2194,0.1488,0.2008,0.2194,0.1488,0.2008
0.4691,0.0,0.0,0.0,0.0,0.4691,0.4691,0.9383,0.4691,0.9383,1.8765,0.0,0.0,0.4691,0.0,0.0,0.4691,0.0,0.0,0.4691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.166,0.1524,0.2125,0.166,0.1524
0.0,0.0,0.0,0.509,0.509,0.0,0.509,0.0,0.0,0.509,1.5271,0.509,0.509,0.0,1.0181,0.509,0.0,0.0,0.0,1.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1582,0.1547,0.1781,0.1582,0.1547,0.1781
0.3863,0.0,0.3863,0.7726,0.0,0.3863,0.3863,0.3863,0.3863,0.0,0.7726,0.0,0.0,0.3863,0.3863,0.0,0.3863,0.0,0.7726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266,0.1867,0.2004,0.2266,0.1867,0.2004
0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.0,0.748,2.9921,0.0,0.0,0.748,1.496,0.0,0.748,0.0,0.0,2.9921,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0002,0.0933,0.1075,0.0511,0.0933,0.1075,0.0511
0.697,0.0,0.697,0.0,0.697,0.0,0.0,0.697,0.0,1.3939,2.0909,0.0,0.0,0.0,1.3939,0.0,0.0,0.0,0.697,2.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.1183,0.1052,0.0796,0.1183,0.1052,0.0796
1.3066,0.8711,0.0,0.4355,0.0,0.8711,0.0,0.8711,0.0,0.0,0.8711,0.0,0.4355,0.0,0.0,0.0,0.0,0.0,0.4355,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.1536,0.1909,0.22,0.1536,0.1909
0.0,0.383,1.5318,0.383,0.0,0.383,0.0,0.0,0.0,0.383,0.383,0.7659,0.0,0.383,0.0,0.383,0.383,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2527,0.2228,0.1416,0.2527,0.2228,0.1416
0.0,0.0,0.4077,0.8153,0.0,0.4077,0.0,0.0,0.0,0.0,0.0,0.4077,0.0,0.4077,0.8153,1.223,1.223,0.8153,0.4077,1.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.2109,0.1974,0.1841,0.2109,0.1974,0.1841
0.0,0.4338,0.0,0.4338,0.0,1.3014,0.4338,0.0,0.0,0.4338,0.8676,0.0,0.0,0.8676,0.4338,0.8676,2.169,0.0,0.0,0.4338,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.2389,0.0874,0.2399,0.2389,0.0874,0.2399
0.0,0.2648,0.2648,1.3238,0.0,0.2648,0.5295,0.2648,0.2648,0.5295,0.5295,0.2648,0.0,0.0,0.2648,0.2648,0.2648,0.0,0.0,1.3238,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2741,0.2235,0.2377,0.2741,0.2235,0.2377
0.2964,0.5927,0.0,0.2964,0.0,0.0,0.8891,0.8891,0.0,0.2964,0.5927,0.5927,0.0,0.0,0.0,0.0,0.2964,0.0,0.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916,0.1682,0.2439,0.2916,0.1682,0.2439
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255,0.0,0.0,2.1765,0.0,0.0,0.7255,0.7255,0.7255,0.0,0.7255,0.7255,2.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0609,0.0958,0.1177,0.0609,0.0958,0.1177
0.3443,0.0,1.0328,0.3443,0.0,0.0,0.0,0.3443,0.0,0.3443,0.0,0.6885,0.3443,0.3443,0.0,0.3443,0.6885,0.0,1.377,0.6885,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.2359,0.186,0.2338,0.2359,0.186,0.2338
0.4697,0.0,1.4091,0.4697,0.4697,0.0,0.0,0.4697,0.0,0.4697,0.4697,0.4697,0.0,0.0,0.0,0.9394,0.0,0.4697,0.0,0.9394,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,0.1125,0.1887,0.2291,0.1125,0.1887
0.0,0.4806,0.9611,0.0,0.4806,0.0,0.4806,0.4806,0.0,0.9611,0.4806,0.0,0.0,0.9611,0.9611,0.0,0.4806,0.0,0.0,0.4806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,0.2218,0.0872,0.2105,0.2218,0.0872
0.575,0.0,1.7251,0.575,0.0,0.575,0.575,0.575,0.0,0.0,1.1501,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1784,0.157,0.0896,0.1784,0.157,0.0896
0.426,0.0,0.852,0.426,0.852,0.0,0.0,0.426,0.426,0.852,0.852,0.0,0.0,0.426,0.852,0.426,0.426,0.426,0.852,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453,0.173,0.1557,0.2453,0.173,0.1557
0.6759,0.0,0.6759,0.6759,0.6759,0.0,0.0,0.0,0.0,2.0277,1.3518,0.0,0.0,0.0,0.0,1.3518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1468,0.0937,0.0836,0.1468,0.0937,0.0836
0.3131,0.0,0.3131,0.3131,0.0,0.3131,0.3131,0.3131,0.3131,0.6262,0.0,1.5654,0.0,0.0,0.0,0.6262,0.3131,0.0,0.0,0.3131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1981,0.2188,0.27,0.1981,0.2188,0.27
0.4837,0.0,0.4837,0.4837,0.0,0.0,0.0,0.4837,0.0,0.4837,1.451,0.4837,0.9673,0.0,0.4837,0.4837,0.4837,0.0,0.4837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.1709,0.1864,0.159,0.1709,0.1864
0.0,0.7358,0.3679,0.3679,0.0,0.3679,0.0,0.3679,0.3679,0.3679,1.4717,0.0,0.0,0.7358,0.0,0.3679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545,0.1509,0.2267,0.2545,0.1509,0.2267
0.7671,0.3836,0.3836,0.0,0.0,0.3836,0.3836,0.3836,0.0,0.3836,0.0,0.3836,0.0,0.3836,0.0,0.3836,0.0,0.0,0.7671,0.7671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2393,0.2332,0.144,0.2393,0.2332,0.144
0.0,0.0,0.0,0.4698,0.0,0.4698,0.0,0.0,0.0,0.0,1.8791,0.9396,0.9396,0.0,0.4698,0.4698,0.0,0.0,0.4698,0.9396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2184,0.1989,0.1129,0.2184,0.1989,0.1129
0.4733,0.0,0.0,0.0,0.4733,0.0,0.4733,0.9465,0.9465,0.0,0.9465,0.0,0.0,0.4733,0.0,0.9465,0.4733,0.0,0.0,0.9465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2367,0.1465,0.1435,0.2367,0.1465,0.1435
0.9632,0.6421,0.3211,0.0,0.0,0.0,0.0,0.9632,0.3211,0.0,0.3211,0.3211,0.0,0.0,0.0,0.0,0.0,0.3211,0.3211,0.3211,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114,0.2284,0.2391,0.2114,0.2284,0.2391
0.4151,0.4151,0.4151,0.0,0.0,0.0,0.0,0.4151,0.0,1.6605,0.4151,0.8303,0.0,0.4151,0.0,0.8303,0.0,0.0,0.0,0.4151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2404,0.212,0.1324,0.2404,0.212,0.1324
0.5201,0.5201,0.5201,0.0,0.0,0.5201,0.5201,0.0,0.0,0.5201,1.0402,0.0,0.0,0.5201,0.0,0.5201,0.5201,0.0,1.0402,1.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.1642,0.1363,0.1795,0.1642,0.1363,0.1795
0.3769,0.3769,0.0,0.3769,0.0,0.3769,0.3769,0.0,0.0,0.7538,0.7538,0.3769,0.0,0.7538,0.3769,0.0,0.0,0.0,0.3769,0.3769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.2272,0.1783,0.2175,0.2272,0.1783
0.8069,0.4035,0.0,0.0,0.4035,0.0,0.0,0.0,0.4035,0.4035,0.8069,0.4035,0.4035,0.4035,0.0,0.0,0.8069,0.0,0.4035,0.4035,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.1823,0.2108,0.2034,0.1823,0.2108,0.2034
1.2264,0.0,0.0,0.0,0.0,0.0,0.8176,0.4088,0.0,0.0,0.8176,0.8176,0.0,0.0,0.8176,1.2264,0.4088,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.203,0.2206,0.1675,0.203,0.2206,0.1675
0.4018,0.0,0.0,0.4018,0.0,0.0,0.8035,0.8035,0.0,0.4018,0.8035,0.4018,0.0,0.0,0.4018,0.8035,1.2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.2617,0.1965,0.14,0.2617,0.1965,0.14
0.0,0.7604,0.0,1.901,0.0,0.0,0.0,0.7604,0.0,0.0,0.0,0.0,0.0,0.3802,0.0,0.0,1.1406,0.0,0.3802,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2304,0.2139,0.1755,0.2304,0.2139,0.1755
0.0,0.0,0.447,0.447,0.0,0.447,0.447,0.0,0.0,0.0,0.0,1.3411,0.0,0.0,0.0,0.447,0.8941,0.447,0.447,0.8941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.1914,0.2007,0.1608,0.1914,0.2007,0.1608
0.4207,0.0,0.8415,0.4207,0.4207,0.0,0.0,0.4207,0.0,0.4207,0.4207,0.8415,0.0,0.0,0.0,0.8415,0.0,0.4207,0.0,0.8415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2489,0.1133,0.2171,0.2489,0.1133,0.2171
0.0,0.4689,0.9378,0.4689,0.4689,0.0,0.4689,0.0,0.0,0.9378,0.4689,0.0,0.0,0.9378,0.9378,0.0,0.4689,0.0,0.0,0.4689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.2317,0.1064,0.193,0.2317,0.1064
0.7005,0.0,0.3502,1.0507,0.3502,0.3502,0.3502,0.0,0.0,0.3502,0.3502,0.7005,0.0,0.3502,0.0,0.0,1.0507,0.0,0.0,0.3502,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.232,0.2558,0.162,0.232,0.2558,0.162
1.6349,0.0,0.4087,0.4087,0.0,0.4087,0.4087,0.4087,0.0,1.2262,0.4087,0.4087,0.4087,0.4087,0.0,0.0,0.4087,0.0,0.4087,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2228,0.1614,0.2071,0.2228,0.1614,0.2071
0.2694,0.8083,0.0,0.0,0.2694,0.0,0.2694,0.5389,0.8083,0.0,0.2694,0.5389,0.2694,0.2694,0.2694,0.2694,0.0,0.2694,0.0,0.2694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3005,0.2442,0.1858,0.3005,0.2442,0.1858
1.3631,0.0,0.6816,0.0,0.3408,0.3408,0.0,0.0,0.3408,0.6816,0.6816,0.6816,0.6816,0.0,0.0,0.0,0.6816,0.3408,0.3408,0.3408,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1958,0.2344,0.229,0.1958,0.2344,0.229
0.0,0.0,0.0,0.0,0.4009,0.4009,0.4009,0.4009,0.0,1.2028,0.4009,1.2028,0.0,0.4009,0.0,0.8019,0.0,0.0,0.0,0.4009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892,0.2391,0.1707,0.1892,0.2391,0.1707
0.4281,0.0,0.0,0.8562,0.4281,1.2843,0.4281,0.0,0.0,0.4281,0.4281,0.8562,0.0,0.0,0.0,0.0,0.8562,0.0,0.0,0.8562,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866,0.2496,0.1357,0.1866,0.2496,0.1357
0.0,1.0285,0.3428,0.0,0.3428,0.3428,0.0,0.3428,0.0,0.3428,0.6856,0.3428,0.3428,0.0,0.3428,0.3428,0.3428,0.3428,0.3428,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2254,0.1956,0.2362,0.2254,0.1956,0.2362
0.0,0.9357,0.3119,0.3119,0.6238,0.0,0.3119,0.0,0.0,0.0,1.2475,0.3119,0.0,0.0,0.0,0.9357,0.3119,0.3119,0.3119,0.3119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511,0.1898,0.2472,0.2511,0.1898,0.2472
0.7246,0.7246,0.0,0.0,0.0,0.3623,0.0,0.3623,0.0,0.0,0.3623,0.3623,0.7246,0.3623,0.0,0.7246,0.3623,0.0,0.0,1.0869,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.1774,0.2458,0.2145,0.1774,0.2458,0.2145
0.3368,0.6735,0.3368,0.0,0.3368,0.6735,0.0,0.6735,0.6735,0.0,0.0,0.0,0.3368,0.0,0.3368,0.3368,0.6735,0.3368,0.6735,0.3368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2425,0.2377,0.1831,0.2425,0.2377,0.1831
0.2861,1.1444,0.0,0.0,0.2861,0.0,0.2861,1.1444,0.2861,0.0,0.2861,0.0,0.2861,0.0,0.2861,0.2861,0.0,0.2861,0.2861,0.5722,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.2118,0.2333,0.2688,0.2118,0.2333
0.455,0.0,0.455,0.0,0.0,0.455,0.91,0.455,0.0,0.0,0.455,0.0,0.0,0.0,1.365,0.0,1.365,0.455,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.1726,0.1811,0.1913,0.1726,0.1811,0.1913
0.3471,1.3884,0.0,0.6942,0.3471,0.0,1.0413,0.3471,0.0,0.0,0.6942,0.0,0.0,0.0,0.0,0.3471,1.0413,0.3471,0.3471,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176,0.2332,0.2021,0.2176,0.2332,0.2021
1.8754,0.0,0.0,0.0,0.0,0.0,0.9377,0.9377,0.0,0.9377,0.0,0.0,0.4688,0.0,1.4065,0.0,0.4688,0.0,0.4688,0.9377,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.172,0.1582,0.201,0.172,0.1582,0.201
1.0533,0.3511,1.0533,0.0,0.0,0.0,0.0,0.3511,0.0,1.0533,0.0,0.7022,0.3511,0.0,0.0,0.0,0.7022,0.3511,1.0533,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.2407,0.2388,0.1694,0.2407,0.2388,0.1694
0.0,0.0,0.3394,0.3394,0.3394,0.6788,1.0182,0.3394,0.3394,0.0,0.0,0.0,0.3394,0.3394,0.3394,0.3394,0.3394,0.0,0.6788,1.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2485,0.215,0.1971,0.2485,0.215,0.1971
0.0,0.7211,0.0,0.0,0.0,3.2448,1.0816,0.0,0.3605,0.0,1.0816,0.3605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3605,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329,0.2379,0.1687,0.2329,0.2379,0.1687
